Description	enabled	numinputs	min difficulty	expansion	start day	stop day	day of week	playerclass	require a	code a	number of a	modifier a	param1 a	param2 a	sockets a	gem 1 a	gem 2 a	gem 3 a	gem 4 a	gem 5 a	gem 6 a	require b	code b	number of b	modifier b	param1 b	param2 b	sockets b	gem 1 b	gem 2 b	gem 3 b	gem 4 b	gem 5 b	gem 6 b	require c	code c	number of c	modifier c	param1 c	param2 c	sockets c	gem 1 c	gem 2 c	gem 3 c	gem 4 c	gem 5 c	gem 6 c	require d	code d	number of d	modifier d	param1 d	param2 d	sockets d	gem 1 d	gem 2 d	gem 3 d	gem 4 d	gem 5 d	gem 6 d	require e	code e	number of e	modifier e	param1 e	param2 e	sockets e	gem 1 e	gem 2 e	gem 3 e	gem 4 e	gem 5 e	gem 6 e	require f	code f	number of f	modifier f	param1 f	param2 f	sockets f	gem 1 f	gem 2 f	gem 3 f	gem 4 f	gem 5 f	gem 6 f	require g	code g	number of g	modifier g	param1 g	param 2 g	gem 1 g	gem 2 g	gem 3 g	gem 4 g	gem 5 g	gem 6 g	function	product a	product code a	mods a	uses a	fixedlevel a	playerlevel pct a	itemlevel pct a	pmod1a	pmod2a	psocketsa	mod1a	mod1achance	mod1aparam	mod1amin	mod1amax	mod2a	mod2achance	mod2aparam	mod2amin	mod2amax	mod3a	mod3achance	mod3aparam	mod3amin	mod3amax	mod4a	mod4achance	mod4aparam	mod4amin	mod4amax	mod5a	mod5achance	mod5aparam	mod5amin	mod5amax	product b	product code b	mods b	uses b	fixedlevel b	playerlevel pct b	itemlevel pct b	pmod1b	pmod2b	psocketsb	mod1b	mod1bchance	mod1bparam	mod1bmin	mod1bmax	mod2b	mod2bchance	mod2bparam	mod2bmin	mod2bmax	mod3b	mod3bchance	mod3bparam	mod3bmin	mod3bmax	mod4b	mod4bchance	mod4bparam	mod4bmin	mod4bmax	mod5b	mod5bchance	mod5bparam	mod5bmin	mod5bmax
1 axe + 1 dagger -> throwing axe	1	2	0	0	0	0	0		axe		1		0	0	0							dag		1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	tax	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
1 spear + 1 arrow quiver -> javelins	1	2	0	0	0	0	0		spr		1		0	0	0							itm	aqv	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	jav	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
3 rings -> amulet	1	3	0	0	0	0	0		itm	rin	3		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	0	mag		0																										0		0	0	0	0	0			0																				0					0
3 amulets -> ring	1	3	0	0	0	0	0		itm	amu	3		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	0	mag		0																										0		0	0	0	0	0			0																				0					0
"3 chipped gems + 1 sword ->  magic, socketable long sword"	1	4	0	0	0	0	0		swr		1		0	0	0							gem		3		1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lsd	0	0	0	75	0	mag		3																										0		0	0	0	0	0			0																				0					0
1 magic small shield + 1 spiked club + 2 skulls -> small shield of spikes	1	4	0	0	0	0	0		itm	sml	1	mag	0	0	0							itm	spc	1		0	0	0							gem		2	sku	0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	sml	0	0	0	66	0	mag		1	thorns		0	1	9																					0		0	0	0	0	0			0																				0					0
4 health potion + 1 ruby + 1 magic sword -> long sword of the leech	1	6	0	0	0	0	0		swr		1	mag	0	0	0							gem		1	rub	0	0	0							hpt		4		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lsd	0	0	0	66	0	mag		1	lifesteal		0	1	9																					0		0	0	0	0	0			0																				0					0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage bardiche	1	4	0	0	0	0	0		gem		1	dim	0	0	0							itm	kri	1		0	0	0							stf		1		0	0	0							blt		1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	bar	0	0	0	66	0	mag		0	dmg%		0	76	96																					0		0	0	0	0	0			0																				0					0
1 strangling gas potion + 1 health potion -> antidote potion	1	2	0	0	0	0	0		itm	gpl	1		0	0	0							hpt		1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	yps	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
2 arrows -> bolts	1	2	0	0	0	0	0		itm	aqv	2		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	cqv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
2 bolts -> arrows	1	2	0	0	0	0	0		itm	cqv	2		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	aqv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades amethyst	1	3	0	0	0	0	0		gem		3	ame	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades amethyst	1	3	0	0	0	0	0		gem		3	ame	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gzv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades amethyst	1	3	0	0	0	0	0		gem		3	ame	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades amethyst	1	3	0	0	0	0	0		gem		3	ame	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfv	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades ruby	1	3	0	0	0	0	0		gem		3	rub	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpr	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades ruby	1	3	0	0	0	0	0		gem		3	rub	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	glr	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades ruby	1	3	0	0	0	0	0		gem		3	rub	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsr	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades ruby	1	3	0	0	0	0	0		gem		3	rub	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfr	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades sapphire	1	3	0	0	0	0	0		gem		3	sap	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpb	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades sapphire	1	3	0	0	0	0	0		gem		3	sap	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	glb	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades sapphire	1	3	0	0	0	0	0		gem		3	sap	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsb	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades sapphire	1	3	0	0	0	0	0		gem		3	sap	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfb	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades topaz	1	3	0	0	0	0	0		gem		3	top	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpy	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades topaz	1	3	0	0	0	0	0		gem		3	top	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gly	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades topaz	1	3	0	0	0	0	0		gem		3	top	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsy	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades topaz	1	3	0	0	0	0	0		gem		3	top	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfy	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades emerald	1	3	0	0	0	0	0		gem		3	eme	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpg	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades emerald	1	3	0	0	0	0	0		gem		3	eme	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	glg	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades emerald	1	3	0	0	0	0	0		gem		3	eme	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsg	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades emerald	1	3	0	0	0	0	0		gem		3	eme	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfg	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades diamond	1	3	0	0	0	0	0		gem		3	dim	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gpw	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades diamond	1	3	0	0	0	0	0		gem		3	dim	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	glw	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades diamond	1	3	0	0	0	0	0		gem		3	dim	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gsw	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades diamond	1	3	0	0	0	0	0		gem		3	dim	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gfw	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades skull	1	3	0	0	0	0	0		gem		3	sku	4	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	skz	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades skull	1	3	0	0	0	0	0		gem		3	sku	3	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	skl	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades skull	1	3	0	0	0	0	0		gem		3	sku	2	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	sku	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Gem upgrades skull	1	3	0	0	0	0	0		gem		3	sku	1	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	skf	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
3 perfect gems of any type + 1 magic item -> 1 new magic item of the same type	1	4	0	0	0	0	0		itm		1	mag	0	0	0							gem		3		5	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	non	0	1	0	0	0	mag		0																										0		0	0	0	0	0			0																				0					0
6 perfect skull + 1 rare item -> 1 low quality new rare item of the same type	1	7	0	0	0	0	0		itm		1	rar	0	0	0							gem		6	sku	5	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	non	0	1	0	40	40	rar		0																										0		0	0	0	0	0			0																				0					0
perfect skull + 1 rare item + stone of jordan-> 1 high quality new rare item of the same type	1	3	0	0	0	0	0		itm		1	rar	0	0	0							gem		1	sku	5	0	0							itm	rin	1	unq	0	122	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	non	0	1	0	66	66	rar		0																										0		0	0	0	0	0			0																				0					0
3 perfect skull + 1 rare item + stone of jordan-> add 1 socket to rare	1	5	0	0	0	0	0		itm		1	rar	0	0	0							gem		3	sku	5	0	0							itm	rin	1	unq	0	122	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	non	1	0	0	0	0	rar		1																										0		0	0	0	0	0			0																				0					0
rin + jew + r01 + r15 -> crf ass rin 1	0	4	0	1	0	0	0	ass	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	regen-mana		0	6	18	ass	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r01 + r15 + r16 -> crf ass rin 2	0	5	1	1	0	0	0	ass	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	regen-mana		0	6	36	ass	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r02 + r15 -> crf dru rin 1	0	4	0	1	0	0	0	dru	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	regen		0	3	9	dru	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r02 + r15 + r16 -> crf dru rin 2	0	5	1	1	0	0	0	dru	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	regen		0	3	18	dru	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r03 + r15 -> crf sor rin 1	0	4	0	1	0	0	0	sor	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	cast1		0	1	1	sor	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r03 + r15 + r16 -> crf sor rin 2	0	5	1	1	0	0	0	sor	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	cast1		0	1	2	sor	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r04 + r15 -> crf pal rin 1	0	4	0	1	0	0	0	pal	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	nofreeze		0	1	1	pal	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r04 + r15 + r16 -> crf pal rin 2	0	5	1	1	0	0	0	pal	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	nofreeze		0	1	1	pal	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r05 + r15 -> crf bar rin 1	0	4	0	1	0	0	0	bar	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	lifesteal		0	3	6	bar	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r05 + r15 + r16 -> crf bar rin 2	0	5	1	1	0	0	0	bar	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	lifesteal		0	3	12	bar	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r06 + r15 -> crf ama rin 1	0	4	0	1	0	0	0	ama	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	manasteal		0	3	6	ama	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r06 + r15 + r16 -> crf ama rin 2	0	5	1	1	0	0	0	ama	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	manasteal		0	3	12	ama	33		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r07 + r15 -> crf nec rin 1	0	4	0	1	0	0	0	nec	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r15	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	mana		0	5	35	nec	10		1	1																0		0	0	0	0	0			0																				0					0
rin + jew + r07 + r15 + r16 -> crf nec rin 2	0	5	1	1	0	0	0	nec	itm	rin	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r15	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	75	75	crf		0	mana		0	5	70	nec	33		1	1																0		0	0	0	0	0			0																				0					0
amu + jew + r01 + r14 -> crf ass amu 1	0	4	0	1	0	0	0	ass	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	deadly/lvl		2	0	0						ass	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r01 + r14 + r16 -> crf ass amu 2	0	5	1	1	0	0	0	ass	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	deadly/lvl		4	0	0						ass	33		1	1	ass	33		1	1						0		0	0	0	0	0			0																				0					0
amu + jew + r02 + r14 -> crf dru amu 1	0	4	0	1	0	0	0	dru	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	enr/lvl		3	0	0						dru	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r02 + r14 + r16 -> crf dru amu 2	0	5	1	1	0	0	0	dru	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	enr/lvl		6	0	0						dru	33		1	1	dru	33		1	1						0		0	0	0	0	0			0																				0					0
amu + jew + r03 + r14 -> crf sor amu 1	0	4	0	1	0	0	0	sor	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	pois-max		0	5	15	pois-len		0	120	120	sor	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r03 + r14 + r16 -> crf sor amu 2	0	5	1	1	0	0	0	sor	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	pois-max		0	10	30	pois-len		0	120	120	sor	33		1	1	sor	33		1	1						0		0	0	0	0	0			0																				0					0
amu + jew + r04 + r14 -> crf pal amu 1	0	4	0	1	0	0	0	pal	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	att		0	50	150						pal	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r04 + r14 + r16 -> crf pal amu 2	0	5	1	1	0	0	0	pal	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	att		0	100	250						pal	33		1	1	pal	33		1	1						0		0	0	0	0	0			0																				0					0
amu + jew + r05 + r14 -> crf bar amu 1	0	4	0	1	0	0	0	bar	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	abs-slash		0	5	10						bar	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r05 + r14 + r16 -> crf bar amu 2	0	5	1	1	0	0	0	bar	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	abs-slash		0	5	20						bar	33		1	1	bar	33		1	1						0		0	0	0	0	0			0																				0					0
