name	version	completed	beta	rarity	Level	LevelReq	code	type	cost mult	cost add	transform	invtransform	transformcolor	ItemMod1Code	ItemMod1Param	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Param	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Param	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Param	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Param	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Param	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Param	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Param	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Param	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Param	ItemMod10Min	ItemMod10Max
Maelstromwrath	0	1	1	1	19	14	ywn	Yew Wand	5	5000	1	1	5	ltng-min	0	1	1	ltng-max	0	9	9	res-ltng	0	40	40		0	1	1	cast3	0	20	20	mana	0	13	13																0
Gravenspine	0	1	1	1	27	20	bwn	Bone Wand	5	5000	1	0	12	str	0	10	10	dex	0	10	10	cold-min	0	4	4	cold-max	0	8	8	cold-len	0	75	75	manasteal	0	5	5																0
Umes Lament	0	1	1	1	38	28	gwn	Grim Wand	5	5000	1	1	4	nec	0	2	2	mana	0	40	40	cast3	0	20	20	howl	0	64	64																								0
Felloak	0	1	1	1	4	3	clb	Club	5	5000	1	0	1	res-ltng	0	60	60	res-fire	0	20	20	knock	0	1	1	fire-min	0	6	6	fire-max	0	8	8	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Knell Striker	0	1	1	1	7	5	scp	Scepter	5	5000	1	1	8	crush	0	25	25	res-fire	0	20	20	res-pois	0	20	20	mana	0	15	15	att	0	35	35	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Rusthandle	0	1	1	1	23	17	gsc	Grand Scepter	5	5000	1	1	15	pal	0	1	1	dmg-min	0	3	3	dmg-max	0	7	7	red-mag	0	1	1	lifesteal	0	8	8	dmg%	0	50	60																0
Stormeye	0	1	1	1	31	23	wsp	War Scepter	5	5000	1	1	9	ltng-min	0	1	1	ltng-max	0	6	6	cold-min	0	3	3	cold-max	0	5	5	cold-len	0	75	75	regen	0	10	10	dmg%	0	80	90												0
Stoutnail	0	1	1	1	7	5	spc	Spiked Club	5	5000	1	0	2	thorns	0	1	10	dmg%	0	100	100	hp	0	15	15	red-mag	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Crushflange	0	1	1	1	12	9	mac	Mace	5	5000	1	1	3	str	0	15	15	knock	0	1	1	light	0	2	2	res-fire	0	50	50	dmg%	0	50	60		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodrise	0	1	1	1	20	15	mst	Morning Star	5	5000	1	0	4	dmg%	0	120	120	att%	0	50	50	bloody	0	3	5	light	0	2	2	swing1	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Generals Tan Do Li Ga	0	1	1	1	28	21	fla	Flail	5	5000	1	1	5	dmg-min	0	1	1	dmg-max	0	20	20	slow	0	50	50	ac	0	25	25	manasteal	0	5	5	dmg%	0	50	60		0	0	0		0	0	0		0	0	0		0	0	0
Ironstone	0	1	1	1	36	27	whm	War Hammer	5	5000	1	1	6	att	0	80	80	dmg%	0	60	60	ltng-min	0	1	1	ltng-max	0	10	10	dex	0	-5	-5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bonesob	0	1	1	1	32	24	mau	Maul	5	5000	1	0	7	dmg%	0	200	200	crush	0	40	40	res-fire	0	30	30	res-cold	0	30	30		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Steeldriver	0	1	1	1	39	29	gma	Great Maul	5	5000	1	1	12	ease	0	-50	-50	swing3	0	30	30	regen-stam	0	25	25	dmg%	0	30	40																								0
Rixots Keen	0	1	1	1	3	2	ssd	Short Sword	5	5000	1	1	3	dmg-min	0	5	5	att%	0	20	20	light	0	2	2	crush	0	25	25	ac	0	25	25	dmg%	0	100	100		0	0	0		0	0	0		0	0	0		0	0	0
Blood Crescent	0	1	1	1	10	7	scm	Scimitar	5	5000	1	0	4	res-all	0	15	15	dmg%	0	60	60	hp	0	15	15	light	0	4	4		0																0				0	0	0
Krintizs Skewer	0	1	1	1	14	10	sbr	Saber	5	5000	1	0	6	ignore-ac	0	1	1	str	0	10	10	dex	0	10	10	manasteal	0	3	3	dmg%	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Gleamscythe	0	1	1	1	18	13	flc	Falchion	5	5000	1	0	7	light	0	3	3	mana	0	30	30	ac	0	20	20	swing2	0	20	20	dmg%	0	60	70		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Azurewrath	0	1	1	1	18	13	crs	Crystal Sword	5	5000	1	0	1	deadly	0	30	30	mag%	0	10	10	cold-min	0	3	3	cold-max	0	6	6	cold-len	0	100	100	dmg%	0	100	100																0
Griswolds Edge	0	1	1	1	23	17	bsd	Broad Sword	5	5000	1	0	9	fire-min	0	8	10	fire-max	0	12	16	att	0	40	40	swing1	0	10	10	knock	0	1	1	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Hellplague	0	1	1	1	30	22	lsd	Long Sword	5	5000	1	0	8	manasteal	0	5	5	lifesteal	0	5	5	pois-min	0	48	48	pois-max	0	96	96	pois-len	0	150	150	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Culwens Point	0	1	1	1	39	29	wsd	War Sword	5	5000	1	1	0	allskills	0	1	1	res-pois-len	0	50	50	balance2	0	20	20	swing2	0	20	20	att	0	60	60	dmg%	0	70	80																0
Shadowfang	0	1	1	1	16	12	2hs	2-Handed Sword	5	5000	1	0	12	manasteal	0	5	5	res-cold	0	20	20	light	0	-2	-2	cold-min	0	5	5	cold-max	0	10	10	cold-len	0	75	75	dmg%	0	50	60		0	0	0		0	0	0		0	0	0
Soulflay	0	1	1	1	26	19	clm	Claymore	5	5000	1	1	11	manasteal	0	4	10	lifesteal	0	4	4	dmg%	0	70	70	res-all	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Kinemils Awl	0	1	1	1	31	23	gis	Giant Sword	5	5000	1	0	5	att	0	45	45	mana	0	20	20	fire-min	0	6	6	fire-max	0	12	12	dmg%	0	80	100																				0
Blacktongue	0	1	1	1	35	26	bsw	Bastard Sword	5	5000	1	0	10	pois-min	0	48	48	noheal	0	1	1	hp	0	-10	-10	res-pois	0	50	50	pois-max	0	64	64	pois-len	0	75	75	dmg%	0	50	60		0	0	0		0	0	0		0	0	0
Ripsaw	0	1	1	1	35	26	flb	Flamberge	5	5000	1	1	6	openwounds	0	50	50	bloody	0	3	5	dmg-max	0	15	15	manasteal	0	6	6	dmg%	0	80	100																				0
The Patriarch	0	1	1	1	39	29	gsd	Great Sword	5	5000	1	0	9	red-dmg	0	3	3	red-mag	0	3	3	stupidity	0	50	50	gold%	0	100	100	dmg%	0	50	60																				0
Gull	0	1	1	1	6	4	dgr	Dagger	5	5000	1	1	1	dmg-min	0	1	1	dmg-max	0	15	15	mag%	0	50	50	mana	0	-5	-5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Diggler	0	1	1	1	15	11	dir	Dirk	5	5000	1	1	2	dex	0	10	10	dmg%	0	50	50	swing3	0	30	30	res-cold	0	25	25	res-fire	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Jade Tan Do	0	1	1	1	26	19	kri	Kriss	5	5000	1	0	19	att	0	75	75	nofreeze	0	1	1	pois-min	0	24	24	pois-max	0	48	48	pois-len	0	75	75																				0
Irices Shard	0	1	1	1	34	25	bld	Blade	5	5000	1	1	5	cast3	0	20	20	mana	0	50	50	att	0	55	55	res-all	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Dragon Chang	0	1	1	1	11	8	spr	Spear	5	5000	1	1	18	att	0	35	35	dmg-min	0	10	10	light	0	2	2	dmg-undead	0	100	100		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Razortine	0	1	1	1	16	12	tri	Trident	5	5000	1	0	19	slow	0	25	25	reduce-ac	0	50	50	str	0	15	15	dex	0	8	8	swing3	0	30	30		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodthief	0	1	1	1	23	17	brn	Brandistock	5	5000	1	1	0	openwounds	0	35	35	str	0	10	10	lifesteal	0	8	8	hp	0	26	26		0				0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Lance of Yaggai	0	1	1	1	30	22	spt	Spetum	5	5000	1	1	7	thorns	0	8	8	ltng-min	0	1	1	ltng-max	0	40	40	res-all	0	15	15																								0
The Tannr Gorerod	0	1	1	1	36	27	pik	Pike	5	5000	1	1	1	fire-min	0	12	12	fire-max	0	18	18	res-fire-max	0	15	15	hp	0	30	30	att	0	60	60	light	0	3	3	res-fire	0	15	15		0	0	0		0	0	0		0	0	0
Dimoaks Hew	0	1	1	1	11	8	bar	Bardiche	5	5000	1	1	3	dex	0	15	15	dmg%	0	100	100	swing2	0	20	20	ac	0	-8	-8		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Steelgoad	0	1	1	1	19	14	vou	Voulge	5	5000	1	1	12	howl	0	96	96	deadly	0	30	30	att	0	30	30	res-all	0	5	5																								0
Soul Harvest	0	1	1	1	26	19	scy	Scythe	5	5000	1	0	2	openwounds	0	30	30	att	0	45	45	res-all	0	20	20	pois-min	0	32	32	pois-max	0	48	48	pois-len	0	125	125		0	0	0		0	0	0		0	0	0		0	0	0
The Battlebranch	0	1	1	1	34	25	pax	Poleaxe	5	5000	1	1	4	swing3	0	30	30	dex	0	10	10	dmg%	0	50	50	att	0	40	40	lifesteal	0	7	7		0				0				0	0	0		0	0	0		0	0	0
Woestave	0	1	1	1	38	28	hal	Halberd	5	5000	1	1	5	pois-min	0	24	24	pois-max	0	96	96	slow	0	50	50	res-pois-max	0	15	15	res-pois	0	15	15	light	0	2	2	pois-len	0	75	75		0	0	0		0	0	0		0	0	0
The Grim Reaper	0	1	1	1	39	29	wsc	War Scythe	5	5000	1	1	17	deadly	0	50	50	noheal	0	1	1	manasteal	0	5	5	hp	0	-20	-20																								0
Bane Ash	0	1	1	1	7	5	sst	Short Staff	5	5000	1	1	10	fire-min	0	4	4	fire-max	0	6	6	res-fire	0	50	50	mana	0	30	30	swing2	0	20	20	dmg%	0	50	60		0	0	0		0	0	0		0	0	0		0	0	0
Serpent Lord	0	1	1	1	12	9	lst	Long Staff	5	5000	1	1	12	pois-min	0	8	8	pois-max	0	128	128	res-pois	0	50	50	light	0	-1	-1	pois-len	0	75	75	mana	0	10	10	dmg%	0	30	40		0	0	0		0	0	0		0	0	0
Lazarus Spire	0	1	1	1	24	18	cst	Gnarled Staff	5	5000	1	0	1	res-all	0	30	30	red-mag	0	3	3	mana	0	20	20	swing2	0	20	20	str	0	9	9	fire-min	0	7	7	fire-max	0	12	12	dmg%	0	50	60		0	0	0		0	0	0
The Salamander	0	1	1	1	28	21	bst	Battle Staff	5	5000	1	1	8	fireskill	0	2	2	fire-min	0	1	1	fire-max	0	10	10	res-fire	0	20	20	att	0	50	50	dmg%	0	50	60		0	0	0		0	0	0		0	0	0		0	0	0
The Iron Jang Bong	0	1	1	1	38	28	wst	War Staff	5	5000	1	1	14	ltng-min	0	1	1	att%	0	50	50	ac	0	25	25	sor	0	1	1	cast3	0	20	20	ltng-max	0	25	25	dmg%	0	30	40		0	0	0		0	0	0		0	0	0
Pluckeye	0	1	1	1	10	7	sbw	Short Bow	5	5000	1	1	6	att	0	28	28	dmg%	0	100	100	hp	0	10	10	light	0	2	2	manasteal	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Witherstring	0	1	1	1	18	13	hbw	Hunter’s Bow	5	5000	1	1	7	swing3	0	30	30	dmg-min	0	1	1	dmg-max	0	3	3	att	0	50	50	magicarrow	0	35	35	dmg%	0	40	50		0	0	0		0	0	0		0	0	0		0	0	0
Rimeraven	0	1	1	1	20	15	lbw	Long Bow	5	5000	1	1	8	att%	0	50	50	dex	0	3	3	explosivearrow	0	30	30	str	0	3	3	dmg%	0	60	70		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Piercerib	0	1	1	1	27	20	cbw	Composite Bow	5	5000	1	0	9	res-all	0	10	10	deadly	0	30	30	att	0	60	60	dmg-undead	0	100	100	dmg%	0	40	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Pullspite	0	1	1	1	34	25	sbb	Short Battle Bow	5	5000	1	0	10	ltng-min	0	1	1	str	0	8	8	att	0	28	28	pierce	0	10	10	ltng-max	0	10	10	res-ltng	0	25	25	dmg%	0	70	80		0	0	0		0	0	0		0	0	0
Wizendraw	0	1	1	1	35	26	lbb	Long Battle Bow	5	5000	1	1	11	magicarrow	0	1	1	mana	0	30	30	swing2	0	20	20	res-cold	0	26	26	att	0	36	36	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Hellclap	0	1	1	1	36	27	swb	Short War Bow	5	5000	1	0	12	swing1	0	10	10	fire-min	0	6	6	fire-max	0	9	9	att	0	20	20	res-fire	0	40	40	dex	0	12	12	dmg%	0	70	80		0	0	0		0	0	0		0	0	0
Blastbark	0	1	1	1	38	28	lwb	Long War Bow	5	5000	1	1	13	dmg%	0	70	70	str	0	5	5	ama	0	1	1	manasteal	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Leadcrow	0	1	1	1	12	9	lxb	Light Crossbow	5	5000	1	0	14	dex	0	10	10	hp	0	10	10	dmg%	0	70	70	res-pois	0	30	30	deadly	0	25	25	att	0	40	40		0	0	0		0	0	0		0	0	0		0	0	0
Ichorsting	0	1	1	1	24	18	mxb	Crossbow	5	5000	1	0	15	pois-min	0	24	24	pois-max	0	32	32	dex	0	20	20	pierce	0	50	50	att	0	50	50	pois-len	0	75	75	dmg%	0	50	50		0	0	0		0	0	0		0	0	0
Hellcast	0	1	1	1	36	27	hxb	Heavy Crossbow	5	5000	1	0	16	explosivearrow	0	1	1	res-fire-max	0	15	15	res-fire	0	15	15	att	0	70	70	swing2	0	20	20	dmg%	0	70	80		0	0	0		0	0	0		0	0	0		0	0	0
Doomspittle	0	1	1	1	38	28	rxb	Repeating Crossbow	5	5000	1	0	17	ama	0	1	1	pierce	0	35	35	swing3	0	30	30	hp	0	15	15	dmg%	0	40	50		0				0	0	0		0	0	0		0	0	0		0	0	0
War Bonnet	0	1	1	1	4	3	cap	Cap	5	5000	1	0	18	hp	0	15	15	att	0	30	30	dmg%	0	30	30	mana	0	15	15	ac	0	14	14		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Tarnhelm	0	1	1	1	20	15	skp	Skull Cap	5	5000	1	1	19	gold%	0	75	75	mag%	0	25	50	allskills	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Coif of Glory	0	1	1	1	19	14	hlm	Helm	5	5000	1	0	0	light-thorns	0	4	4	stupidity	0	1	1	res-ltng	0	15	15	ac-miss	0	25	25	ac	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Duskdeep	0	1	1	1	23	17	fhl	Full Helm	5	5000	1	0	1	light	0	-2	-2	res-all	0	5	5	red-dmg	0	3	3	dmg-max	0	8	8	ac	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Wormskull	0	1	1	1	28	21	bhm	Bone Helm	5	5000	1	0	10	nec	0	1	1	lifesteal	0	5	5	mana	0	10	10	res-pois	0	25	25																								0
Howltusk	0	1	1	1	34	25	ghm	Great Helm	5	5000	1	1	2	red-mag	0	2	2	thorns	0	3	3	ac%	0	80	80	dmg-to-mana	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Undead Crown	0	1	1	1	39	29	crn	Crown	5	5000	1	1	3	lifesteal	0	4	4	ac	0	40	40	res-pois	0	50	50	half-freeze	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Face of Horror	0	1	1	1	27	20	msk	Mask	5	5000	1	1	4	howl	0	64	64	str	0	20	20	res-all	0	5	5	dmg-undead	0	50	50	ac	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Greyform	0	1	1	1	10	7	qui	Quilted Armor	5	5000	1	1	1	red-mag	0	3	3	res-cold	0	20	20	res-fire	0	20	20	dex	0	10	10	lifesteal	0	5	5	ac	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0
Blinkbats Form	0	1	1	1	16	12	lea	Leather Armor	5	5000	1	1	8	ac-miss	0	16	16	move1	0	10	10	ac	0	25	25	fire-min	0	3	3	fire-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Centurion	0	1	1	1	19	14	hla	Hard Leather	5	5000	1	1	9	ac	0	30	30	att	0	25	25	red-dmg	0	2	2	hp	0	15	15	mana	0	15	15	stam	0	15	15	regen	0	3	3		0	0	0		0	0	0		0	0	0
Twitchthroe	0	1	1	1	22	16	stu	Studded Leather	5	5000	1	1	10	swing1	0	10	10	dex	0	10	10	block	0	25	25	ac	0	25	25	str	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Darkglow	0	1	1	1	19	14	rng	Ring Mail	5	5000	1	1	11	att	0	20	20	res-all-max	0	5	5	light	0	3	3	ac-hth	0	25	25	res-all	0	10	10	ac	0	30	30		0	0	0		0	0	0		0	0	0		0	0	0
Hawkmail	0	1	1	1	20	15	scl	Scale Mail	5	5000	1	1	12	ac	0	45	45	res-cold-max	0	15	15	res-cold	0	15	15	nofreeze	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Sparking Mail	0	1	1	1	23	17	chn	Chain Mail	5	5000	1	1	13	ac	0	60	60	ltng-min	0	1	1	ltng-max	0	10	10	light-thorns	0	1	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Venomsward	0	1	1	1	27	20	brs	Breast Plate	5	5000	1	1	14	pois-min	0	24	24	pois-max	0	32	32	dmg-ltng	0	10	20	res-pois-max	0	15	15	light	0	2	2	pois-len	0	75	75	res-pois	0	15	15	ac	0	40	40		0	0	0		0	0	0
Iceblink	0	1	1	1	30	22	spl	Splint Mail	5	5000	1	1	15	freeze	13	50	0	res-cold	0	30	30	light	0	4	4	red-mag	0	1	1	ac	0	55	55		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Boneflesh	0	1	1	1	35	26	plt	Plate Mail	5	5000	1	1	16	lifesteal	0	5	5	ac	0	100	100	att	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rockfleece	0	1	1	1	38	28	fld	Field Plate	5	5000	1	1	17	ease	0	-10	-10	ac	0	125	125	res-pois	0	50	50	red-dmg	0	3	3	str	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rattlecage	0	1	1	1	39	29	gth	Gothic Plate	5	5000	1	1	18	howl	0	50	50	att	0	45	45	crush	0	25	25	ac	0	200	200		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goldskin	0	1	1	1	38	28	ful	Full Plate Mail	5	5000	1	0	19	ac	0	150	150	res-all	0	30	30	thorns	0	1	10	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Victors Silk	0	1	1	1	38	28	aar	AncientArmor	5	5000	1	0	5	manasteal	0	5	5	allskills	0	1	1	light	0	2	2	ac	0	60	60		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Heavenly Garb	0	1	1	1	39	29	ltp	LightPlate	5	5000	1	1	6	ac%	0	100	100	res-all	0	10	10	regen-mana	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Pelta Lunata	0	1	1	1	3	2	buc	Buckler	5	5000	1	0	0	ac	0	40	40	hp	0	10	10	str	0	2	2	mana	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Umbral Disk	0	1	1	1	12	9	sml	Small Shield	5	5000	1	0	1	stupidity	0	1	1	dex	0	10	10	ac	0	40	40	hp	0	20	20	light	0	-2	-2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Stormguild	0	1	1	1	18	13	lrg	Large Shield	5	5000	1	0	2	red-mag	0	1	1	res-ltng	0	25	25	ac	0	30	30	ltng-min	0	1	1	ltng-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Wall of the Eyeless	0	1	1	1	27	20	bsh	Bone Shield	5	5000	1	0	15	mana-kill	0	5	5	manasteal	0	3	3	cast3	0	20	20	res-pois	0	20	20	ac		30	30																				0
Swordback Hold	0	1	1	1	20	15	spk	Spiked Shield	5	5000	1	0	7	thorns	0	5	5	block	0	20	20	openwounds	0	50	50	bloody	0	3	5	ac		20	20																				0
Steelclash	0	1	1	1	23	17	kit	Kite Shield	5	5000	1	0	3	block	0	25	25	pal	0	1	1	red-dmg	0	3	3	light	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bverrit Keep	0	1	1	1	26	19	tow	Tower Shield	5	5000	1	0	4	ac	0	30	30	res-fire	0	25	25	str	0	5	5	red-mag	0	4	4		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Ward	0	1	1	1	35	26	gts	Gothic Shield	5	5000	1	0	5	ac	0	40	40	red-mag	0	2	2	str	0	10	10	block	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Hand of Broc	0	1	1	1	7	5	lgl	Gloves	5	5000	1	1	6	manasteal	0	3	3	lifesteal	0	3	3	res-pois	0	10	10	mana	0	20	20	ac	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodfist	0	1	1	1	12	9	vgl	Heavy Gloves	5	5000	1	1	19	dmg-min	0	5	5	hp	0	40	40	balance3	0	30	30	ac		10	10																								0
Chance Guards	0	1	1	1	20	15	mgl	Bracers	5	5000	1	1	7	gold%	0	200	200	mag%	0	24	24	att	0	25	25	ac	0	15	15	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Magefist	0	1	1	1	31	23	tgl	Light Gauntlets	5	5000	1	1	1	cast3	0	20	20	regen-mana	0	25	25	fireskill	0	1	1	fire-min	0	1	1	fire-max	0	5	5	ac		10	10																0
Frostburn	0	1	1	1	39	29	hgl	Gauntlets	5	5000	1	1	8	ac	0	30	30	dmg%	0	5	5	mana%	0	40	40	cold-min	0	1	1	cold-max	0	6	6	cold-len	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0
Hotspur	0	1	1	1	7	5	lbt	Leather Boots	5	5000	1	1	9	res-fire-max	0	15	15	hp	0	15	15	fire-min	0	3	3	fire-max	0	6	6	ac	0	10	10	res-fire	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0
Gorefoot	0	1	1	1	12	9	vbt	Heavy Boots	5	5000	1	1	5	bloody	0	3	5	move2	0	20	20	manasteal	0	2	2	thorns	0	2	2	ac		12	12																				0
Treads of Cthon	0	1	1	1	20	15	mbt	Chain Boots	5	5000	1	1	10	move3	0	30	30	ac-miss	0	50	50	stamdrain	0	50	50	hp	0	10	10		0	0	0	ac	0	12	12		0	0	0		0	0	0		0	0	0		0	0	0
Goblin Toe	0	1	1	1	30	22	tbt	Light Plate Boots	5	5000	1	1	2	crush	0	25	25	red-dmg	0	1	1	red-mag	0	1	1	ac	0	15	15	light	0	-1	-1																				0
Tearhaunch	0	1	1	1	39	29	hbt	Plate Boots	5	5000	1	1	11	ac	0	35	35	str	0	5	5	dex	0	5	5	move2	0	20	20	res-all	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Lenyms Cord	0	1	1	1	10	7	lbl	Sash	5	5000	1	1	12	mana	0	15	15	regen-mana	0	30	30	res-all	0	5	5	light	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Snakecord	0	1	1	1	16	12	vbl	Light Belt	5	5000	1	1	3	pois-min	0	16	16	pois-max	0	24	32	pois-len	0	75	75	res-pois	0	25	25	ac	0	11	11	regen	0	5	5																0
