name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather 	0	0	1	1	32	35	0	0	27	0	32	0	8	0	2385	11270	stu			stu	stu	stu	xtu	utu	0	1	2	3	1	2	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	20	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	rng	ltp	0	0	1
Ring Mail	0	0	1	1	45	48	0	5	36	0	26	0	11	0	4428	20177	rng			rng	rng	rng	xng	ung	0	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	1	0	1	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	scl	chn	0	0	1
Scale Mail	0	0	1	1	57	60	0	10	44	0	36	0	13	0	6508	30151	scl			scl	scl	scl	xcl	ucl	0	1	2	3	1	2	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	chn	brs	0	0	1
Chain Mail	0	0	1	1	72	75	0	5	48	0	45	0	15	0	9360	45100	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	2	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	brs	spl	0	0	1
Breast Plate	0	0	2	1	65	68	1	0	30	0	50	0	18	0	10078	56851	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	3	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	spl	plt	0	0	1
Splint Mail	0	0	1	1	90	95	0	5	51	0	30	0	20	0	15489	89945	spl			spl	spl	spl	xpl	upl	0	1	2	3	1	2	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	1	1	0	1	1	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255			2	8	0	plt	fld	0	0	1
Plate Mail	0	0	1	1	108	116	0	10	65	0	60	0	24	0	22335	148510	plt			plt	plt	plt	xlt	ult	0	1	2	3	1	2	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	1	1	1	1	1	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255			2	8	0	fld	xxx	0	0	1
Field Plate	0	0	3	1	101	105	2	5	55	0	48	0	28	0	23841	183387	fld			fld	fld	fld	xld	uld	0	1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	1	0	0	1	2	20	0	0	0	0	255	0	0	0	0	255			2	8	0	gth	ful	0	0	1
Gothic Plate	0	0	3	1	128	135	0	5	70	0	55	0	32	0	34646	295668	gth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	1	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	1	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255			2	8	0	ful	xxx	0	0	1
Full Plate Mail	0	0	1	1	150	161	2	10	80	0	70	0	37	0	47192	457526	ful			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	0	0	1	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255			2	8	0	aar	xxx	0	0	1
Ancient Armor	0	0	4	1	218	233	5	5	100	0	60	0	40	0	73864	761140	aar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	0	0	255	1	1	1	2	20	0	0	0	0	255	0	1	1	2	20			2	8	0	ltp	xxx	0	0	1
Light Plate	0	0	2	1	90	107	1	0	41	0	60	0	35	0	28327	267861	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	1	0	0	255	0	0	1	2	20	0	0	0	0	255	0	1	1	1	20			2	8	0	buc	xxx	0	0	1
Buckler	0	0	1	1	4	6	0	0	12	0	12	0	1	0	68	3017	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie	32	0	0	5	0	0	0	0	0	1	0	1	3	0	3	1	1	1	1	3	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	sml	tow	0	0	1
Small Shield	0	0	1	1	8	10	0	0	22	5	16	0	5	0	410	5512	sml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie	32	0	0	5	0	0	0	0	0	1	0	2	3	0	3	1	1	1	1	5	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	5	0	lrg	kit	0	0	1
Large Shield	0	0	1	1	12	14	0	5	34	12	24	0	11	0	1214	11338	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie	18	0	0	5	0	0	0	0	0	1	0	2	4	0	3	0	1	0	1	10	0	1	0	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	kit	tow	0	0	1
Kite Shield	0	0	2	1	16	18	0	0	47	8	30	0	15	0	2129	17983	kit			kit	buc	kit	xit	uit	0	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie	18	0	0	5	0	0	0	0	0	1	0	2	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	tow	gts	0	0	1
Tower Shield	0	0	2	1	22	25	1	10	75	24	60	0	22	0	4249	36869	tow			tow	buc	tow	xow	uow	0	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie	18	0	0	5	0	0	0	0	0	1	0	1	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	1	1	0	0	1	1	1	1	2	20	0	0	0	0	255	0	0	0	0	20			2	2	0	gts	xxx	0	0	1
Gothic Shield	0	0	3	1	30	35	0	5	60	16	40	0	30	0	8000	77500	gts			kit	buc	gts	xts	uts	0	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie	18	0	0	5	0	0	0	0	0	1	0	2	6	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	1	0	0	1	2	20	0	0	0	0	255	0	0	1	1	20			2	2	0	xxx	xxx	0	0	1
Gloves(L)	0	0	1	1	2	3	0	0	0	0	12	0	3	0	80	4060	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	0	0	0	flplgl	invlgl									0	0	0	0	0	glov	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	1	1	1	1	3	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	vgl	hgl	0	0	1
Heavy Gloves	0	0	1	1	5	6	0	0	0	0	14	0	7	0	352	6616	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	0	0	0	flpvgl	invvgl									0	0	0	0	0	glov	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	1	0	1	5	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	mgl	tgl	0	0	1
Bracers(M)	0	0	2	1	8	9	0	0	25	0	16	0	12	0	859	11077	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	0	0	0	flpmgl	invmgl									0	0	0	0	0	glov	35	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	10	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	tgl	hgl	0	0	1
Light Gauntlets	0	0	2	1	9	11	0	0	45	0	18	0	20	0	1635	20675	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	0	0	0	flptgl	invtgl									0	0	0	0	0	glov	36	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	2	1	1	1	1	2	1	1	1	0	0	1	1	255	1	1	0	1	255	0	0	1	1	20	0	0	0	0	255	1	1	0	0	255			0	8	0	xxx	xxx	0	0	1
Gaunlets(H)	0	0	3	1	12	15	0	0	60	0	24	0	27	0	2964	36007	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	0	0	0	flphgl	invhgl									0	0	0	0	0	glov	36	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	255	1	1	0	0	255	1	1	1	1	20	0	0	0	0	255	1	1	1	1	20			0	8	0	xxx	xxx	0	0	1
Leather Boots	0	0	1	1	2	3	0	0	0	0	12	0	3	0	80	4060	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	0	0	0	flplbt	invlbt									0	0	0	0	0	boot	4	0	0	5	0	0	0	0	0	6	0	3	8	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	vbt	tbt	0	0	1
Heavy Boots	0	0	1	1	5	6	0	0	18	0	14	0	7	0	334	6584	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	0	0	0	flpvbt	invvbt									0	0	0	0	0	boot	4	0	0	5	0	0	0	0	0	6	0	4	10	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	mbt	tbt	0	0	1
Chain Boots	0	0	2	1	8	9	0	0	30	0	16	0	12	0	854	11062	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	0	0	0	flpmbt	invmbt									0	0	0	0	0	boot	33	0	0	5	0	0	0	0	0	6	0	6	12	0	3	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	tbt	hbt	0	0	1
