skill	Id	charclass	ClassReq	Monster	Enhanceable	AttackRank	itemclass1	itemclass2	itemclass3	itemclass4	itemclass5	itemclass6	anim	monanim	seqnum	isaura	Durability	Shiver	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchMonsterNear	SelectDead	SearchOpenXY	TargetPet	TargetAlly	ItemEffect	range	AttackNoMana	reqlevel	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	State1	State2	State3	Delay	SkillPage	SkillRow	SkillColumn	IconCel	leftskl	manashift	mana	lvlmana	Interrupt	InTown	Periodic	Finishing	Passive	Param1	Param1 Description	Param2	Param2 Description	Param3	Param3 Description	Param4	Param4 Description	Param5	Param5 Description	Param6	Param6 Description	effect	leveleffect	InGame	Done	Open	Beta	What's left? - code	What's Left - art	ToHit	LevToHit	HitShift	SrcDam	MinDam	MaxDam	LevDam1	LevDam2	LevDam3	EType	EMin	EMax	ELev1	ELev2	ELev3	ELen	ELevLen1	ELevLen2	ELevLen3	caster state	cost mult	cost add
Jab	10	ama	1	0	1	3	1ht	2ht	xxx	xxx	xxx	xxx	seq	seq	1	0	1	1	1	0	1	1	0	0	0	0	0	0	h2h	1	1	0	0	0	0				0	0	0	0	3	1	1	8	0	6	8	1	1	0	0	0	0	0	?	0	?	-15	Percent damage base	3	Percent damage per level	0	?	0	?	"does 4 hits, each at 66% regular damage"	more damage as per dave	1	1	0	1	*Check	?	10	5	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Cold Arrow	11	ama	0	0	1	4	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0				0	0	0	0	1	2	1	10	0	6	12	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	?	extra 5 frames slow and +1 cold dam	1	1	0	1	*Check	new blue shift	0	0	8	4	0	0	0	0	0	cold	3	3	2	2	2	100	30	30	30		384	3000
Multiple Shot	12	ama	0	0	1	7	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0	Magic Arrow			0	0	0	0	1	2	2	12	0	7	8	2	1	0	0	0	0	2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.	0	?	0	?	0	?	Fires a spread of arrows towards the target.	extra arrows/level	1	1	0	1	*Check	?	0	0	8	6	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Dodge	13	ama	1	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	h2h	0	6	0	0	0	0				0	0	0	0	2	2	2	14	1	8	0	0	1	0	0	0	1	10	min % dodge	65	max % dodge	0	?	0	?	0	?	0	?	PASSIVE chance that amazon jumps aside and takes no HTH dam. Only if not moving	more of a chance	1	1	0	1	*Check	New animation	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Power Strike	14	ama	0	0	1	4	1ht	2ht	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	1	1	0	0	0	0	0	0	h2h	1	6	0	0	0	0	Jab			0	0	0	0	3	2	2	16	0	6	8	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	does 1-8 lightning damage	+4 lightning damage	1	1	0	1	*Check	?	10	5	8	8	0	0	0	0	0	ltng	1	16	6	8	10	0	0	0	0		384	3000
Poison Javelin	15	ama	0	0	1	2	1ht	xxx	xxx	xxx	xxx	xxx	throw	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0				0	0	0	0	3	2	3	18	0	6	16	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	"half normal damage, poison damage, trails poison gas"	"+half damage, +1 poison damage"	1	1	0	1	*Check	?	0	0	0	0	0	0	0	0	0	pois	32	48	16	16	16	75	0	0	0		384	3000
Exploding Arrow	16	ama	0	0	1	5	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	12	0	0	0	0	Fire Arrow	Multiple Shot		0	0	0	0	1	3	3	20	0	7	10	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	explodes for 8-16 fire damage 5 square radius	+2 fire damage	1	1	0	1	*Check	new arrow?	0	0	8	8	0	0	0	0	0	fire	2	4	5	5	5	0	0	0	0		512	8000
Slow Missiles	17	ama	1	0	1	8	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Inner Sight			0	0	0	0	2	3	1	22	1	7	10	0	1	0	0	0	0	33	% velocity for missiles	0	% velocity per level	300	duration	150	duration per level	20	radius of effect	0	radius per level	Highlights enemies like eye of zeus. Effected target's missiles fly at 1/3 speed	more duration	1	1	0	1	*Check	missile hit overlay	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Avoid	18	ama	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	h2h	0	12	0	0	0	0	Dodge			0	0	0	0	2	3	2	24	1	8	0	0	1	0	0	0	1	15	min % avoid	75	max % avoid	0	?	0	?	0	?	0	?	PASSIVE like dodge but for missiles and magic missiles	more of a chance	1	1	0	1	*Check	New animation	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Impale	19	ama	1	0	1	6	1ht	2ht	xxx	xxx	xxx	xxx	seq	seq	8	0	1	1	1	0	1	1	0	0	0	0	0	0	h2h	1	12	0	0	0	0	Jab			0	0	0	0	3	3	1	26	0	8	3	0	1	0	0	0	0	300	Percent damage	5	% damage per level	0	% chance durability loss delta min	30	% chance durability loss delta max	1	% durability lost	50	% max chance durability loss	"300% Damange, durability loss"	attack bonus	1	1	0	1	*Check	sequencing	25	7	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Lightning Bolt	20	ama	0	0	1	6	1ht	xxx	xxx	xxx	xxx	xxx	throw	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	range	0	12	0	0	0	0	Poison Javelin			0	0	0	0	3	3	3	28	0	6	24	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	thrown javelin (-type) becomes lightning bolt (GFX and add lightning hit)	+8 lightning damage	1	1	0	1	*Check	?	0	0	8	8	0	0	0	0	0	ltng	1	40	8	8	8	0	0	0	0		512	8000
Ice Arrow	21	ama	0	0	1	6	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	18	0	0	0	0	Cold Arrow			0	0	0	0	1	4	1	30	0	6	16	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	"1/2 damage, freezes target for 10 frames"	extra 2 frames freeze	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0	cold	6	10	4	4	4	50	5	5	5		640	16000
Guided Arrow	22	ama	0	0	1	4	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	18	0	0	0	0	Cold Arrow	Multiple Shot		0	0	0	0	1	4	2	32	0	6	32	-1	1	0	0	0	0	15	Search range	0	?	0	Damage percent	5	damage % per level	0	?	0	?	"200% speed, arrow ALWAYS hits target, or seeks a target"	"-10% speed, +5% damage"	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Penetrate	23	ama	0	0	1	1	1ht	2ht	bow	xbw	xxx	xxx	none	seq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	range	0	18	0	0	0	0	Critical Strike			0	0	0	0	2	4	3	34	1	8	0	0	1	0	0	0	1	35	add % to hit with missiles base	10	add % to hit with missiles/level	0	?	0	?	0	?	0	?	PASSIVE additional chance to hit with missiles (penetrate the armor)	more of a chance	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Charged Strike	24	ama	0	0	1	5	1ht	2ht	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	1	1	0	0	0	0	0	0	h2h	1	18	0	0	0	0	Power Strike	Lightning Bolt		0	0	0	0	3	4	2	36	0	6	16	1	1	0	0	0	0	3	Bolts to send out	0	Additional bolts per level	0	?	0	?	0	?	0	?	"adds 6-10 lightning damage, releases 3 charged bolts (1-4)"	"+2lightning damage,+1charged bolt"	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0	ltng	1	30	10	12	14	0	0	0	0		640	16000
Plague Javelin	25	ama	0	0	1	3	1ht	xxx	xxx	xxx	xxx	xxx	throw	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	18	0	0	0	0	Lightning Bolt			0	0	0	100	3	4	3	38	0	8	7	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	"trails poison gas, hit always poisons, poison cloud radius 3"	"+half damage, +1 poison damage"	1	1	0	0	*Check	improve poison clouds	0	0	3	0	0	0	0	0	0	pois	10	16	3	5	8	75	0	0	0		640	16000
Strafe	26	ama	1	0	1	0	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	0	1	0	0	0	0	0	0	0	0	0	range	0	24	0	0	0	0	Guided Arrow			0	0	0	0	1	5	2	40	0	8	11	0	1	0	0	0	0	5	Damage increase	5	Damage increase per level	4	Base Shots to take (+1 per level)	10	Max shots to take	25	Radius	50	% frame rollback	fires an arrow at every target on screen	+10% damage	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Immolation Arrow	27	ama	0	0	1	6	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	24	0	0	0	0	Exploding Arrow			0	0	0	0	1	5	3	42	0	8	6	1	1	0	0	0	0	2	Fire disc radius	3	Radial Damage Radius	0	?	0	?	0	?	0	?	explodes for 8-16 fire damagebig radius of firewall-type action	+2 fire damage	1	1	0	0	*Check	?	0	0	8	4	0	0	0	0	0	fire	4	10	6	6	6	0	0	0	0		768	32000
Dopplezon	28	ama	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Slow Missiles			0	0	0	0	2	5	1	44	1	6	76	-3	1	0	0	0	0	250	duration of decoy	125	duration per level	50	percent hitpoints of caster	0	?	0	?	0	?	creates an identical copy of the amazon that draws fire	more duration	1	1	0	0	*Check	Overlays	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Evade	29	ama	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	h2h	0	24	0	0	0	0	Avoid			0	0	0	0	2	5	2	46	1	8	0	0	1	0	0	0	1	10	min % evade	65	max % evade	0	?	0	?	0	?	0	?	PASSIVE like dodge but when walking or running	more of a chance	1	1	0	0	*Check	New animation	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Fend	30	ama	1	0	1	0	1ht	2ht	xxx	xxx	xxx	xxx	attack	seq	9	0	1	0	0	0	1	1	0	0	0	0	0	0	h2h	1	24	0	0	0	0	Impale			0	0	0	0	3	5	1	48	0	8	5	0	0	0	0	0	0	1	additional target/level	60	% frame rollback	70	% damage percent	10	damage % per level	0	?	0	?	"attacks all adjacent targets, +20% to hit"	"+10% damage, +5% to hit"	1	1	0	0	*Check	seqencing	40	10	8	8	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Freezing Arrow	31	ama	0	0	1	7	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	0	0	0	0	0	0	0	0	range	0	30	0	0	0	0	Ice Arrow			0	0	0	0	1	6	1	50	0	8	9	1	1	0	0	0	0	5	Radius of impact	0	?	0	?	0	?	0	?	0	?	freezes target	+5 secs time frame	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0	cold	6	10	6	6	6	50	0	0	0		896	64000
Valkyrie	32	ama	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Dopplezon	Evade		0	0	0	0	2	6	1	52	1	8	25	4	1	0	0	0	0	20	% hitpoints more per level	20	% damage increase per level	5	% AC increase per level	5	% To hit increase per level	25	Magic Item level	3	Magic Item level per level	oooh scary valkyrie beast. Comes to fight for amazon	none	1	1	0	0	*Check	palletized Amazon	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Pierce	33	ama	0	0	1	0	bow	xbw	xxx	xxx	xxx	xxx	none	seq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	range	0	30	0	0	0	0	Penetrate			0	0	0	0	2	6	3	54	1	8	0	0	1	1	0	0	1	10	min % chance	100	max % chance	4	max possible piercings	0	?	0	?	0	?	PASSIVE chance that a missile does damage/effect AND continues thru target 	more of a chance	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Lightning Strike	34	ama	0	0	1	8	1ht	2ht	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	1	0	1	1	0	0	0	0	0	0	h2h	1	30	0	0	0	0	Charged Strike			0	0	0	0	3	6	2	56	0	8	9	0	1	0	0	0	0	10	radius of jump to next target	0	?	2	Target hits	1	Target hits per level	0	?	0	?	"does 10-20 lightning damage, sends out chainlightning effect"	+2 lightning damage	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0	ltng	5	25	10	10	10	0	0	0	0		896	64000
Lightning Fury	35	ama	0	0	1	8	1ht	xxx	xxx	xxx	xxx	xxx	throw	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	range	0	30	0	0	0	0	Plague Javelin			0	0	0	0	3	6	3	58	0	7	20	1	1	0	0	0	0	2	lightning spells from target	1	extra spells/level	15	Target search radius	0	?	0	?	0	?	Like Lightning Bolt but with 2+level lightnings going from target to nearest targets	+10% damage	1	1	0	0	*Check	?	0	0	8	8	0	0	0	0	0	ltng	1	40	10	13	16	0	0	0	0		896	64000
Fire Bolt	36	sor	0	0	1	2	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	1	1	2	0	0	7	5	0	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	missile does 3-6 damage	+1 damage	1	1	0	1	*Check	?	0	0	7	0	0	0	0	0	0	fire	6	12	3	5	7	0	0	0	0		256	1000
Warmth	37	sor	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0				0	0	0	0	1	1	3	2	1	8	0	0	1	1	0	0	1	30	increase in mana recovery	12	additional increase/level	0	?	0	?	0	?	0	?	PASSIVE increases mana recovery rate by 50%	+25% recovery	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	fire	0	0	0	0	0	0	0	0	0		256	1000
Charged Bolt	38	sor	0	0	1	1	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	2	1	2	4	0	5	24	4	1	0	0	0	0	3	Bolts to send out	1	Additional bolts per level	0	?	0	?	0	?	0	?	3 charged bolts fly randomly 2-4 damage each	+1 bolt	1	1	0	1	*Check	?	0	0	7	0	0	0	0	0	0	ltng	4	8	1	1	2	0	0	0	0		256	1000
Ice Bolt	39	sor	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	3	1	2	6	0	8	3	0	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	does 3 points cold damage. Target is 1/2 speed for 30 frames	"+1 damage, +5 frames"	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	cold	3	5	1	2	3	150	35	35	35		256	1000
Frozen Armor	40	sor	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	3	1	3	8	1	8	7	0	1	1	0	0	0	30	% AC base	5	% AC per level	3000	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level	Changed ac bonus to %. Took out dur/level. Added frames per level.	"+2 ac, + 2 seconds"	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	STATE_FROZENARMOR	256	1000
Inferno	41	sor	1	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	seq	seq	6	0	0	0	0	0	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0				0	0	0	0	1	2	1	10	0	4	9	1	1	0	0	0	0	20	base ranged (doubled)	3	level range (doubled)	6	Min Mana to start casting	0	?	0	?	0	?	Hold Sorc in 1 frame of anim. Eminate missiles from closer to sorc	"+1 range, +1 second dur"	1	1	0	1	*Check	?	0	0	2	0	0	0	0	0	0	fire	32	64	24	26	28	0	0	0	0		384	3000
Static Field	42	sor	0	0	1	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	6	0	0	0	0				0	0	0	0	2	2	1	12	1	8	9	0	1	0	0	0	0	5	Base radius of effect.	1	Level radius bonus.	1	Minimum Damage.	25	Percent Damage.	0	?	0	?	everything in 10 square radius takes 30% (current) damage	+2 range	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Telekinesis	43	sor	0	0	1	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0				0	0	0	0	2	2	3	14	1	8	7	0	1	1	0	0	0	25	On-screen cast range.	35	Chance to knockback/stun.	0	?	0	?	0	?	0	?	"triggers doors, levers, etc. and grabs items from afar, knockback on monsters"	na	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	ltng	1	2	1	1	1	0	0	0	0		384	3000
Frost Nova	44	sor	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	cast	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	6	0	0	0	0				0	0	0	0	3	2	1	16	1	8	9	1	1	0	0	0	0	9	radius of freeze	3	additional radius/level	0	?	0	?	0	?	0	?	Cold nova	speeds +10%	1	1	0	1	*Check	OverlayC and palette shift	0	0	8	0	0	0	0	0	0	cold	2	4	2	3	4	200	25	25	25		384	3000
Ice Blast	45	sor	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	6	0	0	0	0	Ice Bolt			0	0	0	0	3	2	2	18	0	7	12	1	1	0	0	0	0	75	Duration of freeze	5	additional duration/level	0	?	0	?	0	?	0	?	"1) removed splash damage. 2) make it total freeze, not slow down"	pause for +1 frame	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	cold	10	10	7	7	7	0	0	0	0		384	3000
Blaze	46	sor	0	0	1	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Inferno			0	0	0	0	1	3	1	20	1	7	22	1	1	0	0	0	0	50	Min Frames	500	Max Frames	0	?	0	?	0	?	0	?	"trails fire behind caster,ala Tron game. Each sprite lasts 2 sec. 1pt dam/fram"	"+1 sec dur, +10% damage"	1	1	0	1	*Check	?	0	0	4	0	0	0	0	0	0	fire	4	8	2	3	4	0	0	0	0		512	8000
Fire Ball	47	sor	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Fire Bolt			0	0	0	0	1	3	2	22	0	7	10	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	like fire bolt with area damage. 10-24 damage	+15% damage	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	fire	6	14	7	7	7	0	0	0	0		512	8000
Nova	48	sor	0	0	1	2	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Static Field			0	0	0	0	2	3	1	24	1	8	15	1	1	0	0	0	0	12	number of missiles	4	additional missiles per level	0	?	0	?	0	?	0	?	"if you don't know what nova does, you're fired"	more missiles	1	1	0	1	*Check	"OverlayL, nova missile"	0	0	8	0	0	0	0	0	0	ltng	1	20	7	7	7	0	0	0	0		512	8000
Lightning	49	sor	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	seq	seq	12	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Charged Bolt			0	0	0	0	2	3	2	26	0	7	16	1	1	0	0	0	0	10	minimum damage	20	max damage	4	increase in dam/level (min & max)	0	?	0	?	0	?	"(procedural?) bolt of lightning shot at and through target, length of 1 screen"	more damage	1	1	0	1	*Check	"overlayL, procedual bolt"	0	0	8	0	0	0	0	0	0	ltng	1	40	8	8	8	0	0	0	0		512	8000
Shiver Armor	50	sor	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Ice Blast	Frozen Armor		0	0	0	0	3	3	3	28	1	8	11	0	1	1	0	0	0	45	% AC base	6	% AC per level	3000	Duration	300	duration per level	0	?	0	?	target slows down and is damaged	"more duration, more damage"	1	1	0	1	*Check	"overlayC, overlayV palette shifted"	0	0	8	0	0	0	0	0	0	cold	6	8	2	3	4	100	0	0	0		512	8000
