Class	namco	Type	Descriptor	BaseId	PopulateId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	NoOverlays	OverlayHeight	Velocity	Run	CanStealFrom	ColdEffect	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight	GenericSpawn	AutomapCel	SparsePopulate	Zoo	ObjectCollision	Inert
Gloam	Gloam	WillOWisp	drains mana	26	118	1	0	WW	0	0	2	2	2	0	3	15	15	0	50	0	21	54	87	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	40	cast freq	70	attack prob	50	approach	0		0		1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	4	7	0	40	2	9	120	65535	65535	65535	65535	65535	65535	320	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	6	0	0	53	0	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	40	0	0	50	0	0	40	0	0	70	0	0	50	0	0	100	0	0	2	1	0	0	0	0	0	1	0	0	0	96	0	19	38	106	241	21	5	21	40	0	0	0	0	0	0	156	306	294	2446	12	54	151	0	0	0	0	0	0	439	859	510	16266	24	113	323	0	0	0	0	0	0	Act 3 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SwampGhost	SwampGhost	WillOWisp	drains mana	26	119	1	0	WW	0	0	2	2	2	0	3	15	15	0	50	0	23	56	89	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	50		80		40		0		0		1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	4	7	0	60	2	10	180	65535	65535	65535	65535	65535	65535	320	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	6	0	0	53	0	2	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	50	0	0	60	0	0	50	0	0	80	0	0	70	0	0	100	0	0	2	1	0	0	0	0	0	1	0	0	0	96	0	21	41	116	292	23	5	23	43	0	0	0	0	0	0	162	317	305	2800	12	55	156	0	0	0	0	0	0	449	878	522	18276	25	115	330	0	0	0	0	0	0	Act 3 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BurningSoul	BurningSoul	WillOWisp	drains mana	26	120	1	0	WW	0	0	2	2	2	0	3	15	15	0	50	0	26	59	90	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	60		85		35		0		0		1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	4	7	0	80	3	12	240	65535	65535	65535	65535	65535	65535	320	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	6	0	0	53	0	3	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	60	0	0	70	0	0	60	0	0	85	0	0	80	0	0	100	0	0	2	1	0	0	0	0	0	1	0	0	0	96	0	24	46	131	389	26	6	26	49	0	0	0	0	0	0	171	334	321	3430	13	58	165	0	0	0	0	0	0	454	888	528	19373	25	117	334	0	0	0	0	0	0	Act 4 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 4 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 4 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BlackSoul	BlackSoul	WillOWisp	drains mana	26	121	1	0	WW	0	0	2	2	2	0	3	15	15	0	50	0	28	61	90	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	70		90		30		0		0		1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	4	7	0	90	3	13	300	65535	65535	65535	65535	65535	65535	320	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	6	0	0	53	0	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	70	0	0	80	0	0	70	0	0	100	0	0	90	0	0	100	0	0	2	1	0	0	0	0	0	1	0	0	0	96	0	25	50	141	470	28	6	27	53	0	0	0	0	0	0	177	345	332	3927	13	60	170	0	0	0	0	0	0	454	888	528	19373	25	117	334	0	0	0	0	0	0	Act 4 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 4 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 4 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arach	Arach	EvilSpiders		27	122	1	1	SP	0	0	3	3	1	0	2	6	6	1	50	0	11	44	77	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	45	attack freq	33	att1 vs att2	15	approach	75	heal level	25	runaway	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	5	2	3	1000	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	173	0	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	37	46	55	147	12	7	11	21	0	0	0	0	0	0	438	555	240	1918	26	41	123	0	0	0	0	0	0	1335	1689	451	14012	59	94	286	0	0	0	0	0	0	Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SandFisher	SandFisher	EvilSpiders		27	123	1	0	SP	0	0	3	3	1	0	2	7	7	1	50	0	15	48	81	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	55		40		15		75		30		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	12	2	4	1000	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	173	0	2	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	3	0	0	0	0	0	0	0	0	0	0	96	0	48	61	75	210	16	9	15	29	0	0	0	0	0	0	478	605	261	2514	28	45	134	0	0	0	0	0	0	1404	1777	475	17690	62	99	301	0	0	0	0	0	0	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PoisonSpinner	PoisonSpinner	EvilSpiders		27	124	1	0	SP	0	0	3	3	1	0	2	8	8	1	50	0	21	54	87	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	65		45		20		75		35		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	5	0	33	3	5	1200	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	173	0	3	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	100	4	0	0	0	0	0	0	0	0	0	0	96	0	66	84	106	372	21	12	20	40	0	0	0	0	0	0	537	680	294	3773	32	50	151	0	0	0	0	0	0	1507	1908	510	25094	66	106	323	0	0	0	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FlameSpider	FlameSpider	EvilSpiders		27	125	1	0	SP	0	0	3	3	1	0	2	8	9	1	50	0	22	55	88	0	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	75		50		33		75		40		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	1	35	40	3	6	1500	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	173	0	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	100	0	0	0	5	0	0	0	0	0	0	0	0	0	0	96	0	69	88	111	410	22	13	21	42	0	0	0	0	0	0	547	693	299	4037	32	51	154	0	0	0	0	0	0	1525	1930	516	26600	67	107	327	0	0	0	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SpiderMagus	SpiderMagus	EvilSpiders		27	126	1	0	SP	0	0	3	3	1	0	2	8	11	1	50	0	23	56	89	0	4	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	75		55		20		75		45		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	5	0	50	4	6	3000	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	173	0	5	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	100	0	0	0	6	0	0	0	0	0	0	0	0	0	0	96	0	72	91	116	451	23	14	22	43	0	0	0	0	0	0	557	705	305	4320	33	52	156	0	0	0	0	0	0	1542	1952	522	28196	68	109	330	0	0	0	0	0	0	Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ThornedHulk	ThornedHulk	ThornedHulk	stun attack	28	127	1	0	TH	0	0	3	3	3	0	3	3	3	1	50	0	21	54	87	0	1	3	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	hth	80		15		10		30		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	5	9	0	100	0	0	7	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	215	0	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	4	0	0	0	0	1	0	0	0	0	0	96	0	67	109	106	403	21	12	20	40	10	20	40	0	0	0	544	884	294	4087	30	50	151	26	51	151	0	0	0	1527	2481	510	27179	64	106	323	55	108	323	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BrambleHulk	BrambleHulk	ThornedHulk	stun attack	28	128	1	0	TH	0	0	3	3	3	0	3	3	3	1	50	0	22	55	88	0	2	3	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	hth	85		25		10		40		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	5	9	0	100	0	0	7	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	215	0	2	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	6	0	0	0	0	1	0	0	0	0	0	96	0	70	114	111	444	22	13	21	42	11	21	42	0	0	0	554	900	299	4373	31	51	154	27	52	154	0	0	0	1544	2509	516	28810	65	107	327	56	110	327	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Thrasher	Thrasher	ThornedHulk	stun attack	28	129	1	0	TH	0	0	3	3	3	0	3	3	3	1	50	0	23	56	89	0	2	4	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	hth	90		40		10		50		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	5	9	0	100	0	0	7	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	215	0	3	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	6	0	0	0	0	1	0	0	0	0	0	96	0	73	119	116	488	23	13	22	43	11	22	43	0	0	0	564	917	305	4679	32	52	156	27	53	156	0	0	0	1562	2537	522	30539	66	109	330	57	111	330	0	0	0	Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Spikefist	Spikefist	ThornedHulk	stun attack	28	130	1	0	TH	0	0	3	3	3	0	3	3	3	1	50	0	27	60	90	0	3	5	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	hth	100		50		10		55		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	5	9	0	100	0	0	7	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	215	0	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	6	0	0	0	0	1	0	0	0	0	0	96	0	85	138	136	715	27	15	25	51	13	25	51	0	0	0	604	982	327	6133	34	56	167	29	57	167	0	0	0	1579	2566	528	32371	66	110	334	57	112	334	0	0	0	Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GhoulLord	GhoulLord	Vampire	steals life	29	131	1	0	VA	0	0	2	2	3	0	2	6	6	1	50	0	19	52	85	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	55		20		24		0		3	spells	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	4	4	0	60	5	15	30	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	3	0	0	169	0	2	170	0	2	171	0	2	183	0	1	0	0	0	255	138	0	30	0	0	0	50	0	30	0	0	0	50	50	70	0	0	0	100	50	4	0	1	0	0	0	0	0	1	0	0	96	0	61	84	95	299	19	6	15	36	0	0	0	0	0	0	524	721	283	3204	17	41	145	0	0	0	0	0	0	1492	2051	498	21715	37	87	315	0	0	0	0	0	0	Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C		20	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NightLord	NightLord	Vampire	steals life	29	132	1	0	VA	0	0	2	2	3	0	2	7	7	1	50	0	23	56	89	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	65		25		25		0		5	spells	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	4	4	0	65	6	9	30	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	3	0	0	169	0	3	170	0	3	171	0	3	183	0	1	0	0	0	255	138	0	40	0	0	0	50	0	40	0	0	0	50	50	80	0	0	0	100	50	3	0	1	0	0	0	0	0	1	0	0	96	0	73	100	116	438	23	8	18	43	0	0	0	0	0	0	564	776	305	4200	18	44	156	0	0	0	0	0	0	1562	2147	522	27415	38	91	330	0	0	0	0	0	0	Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DarkLord	DarkLord	Vampire	steals life	29	133	1	0	VA	0	0	2	2	3	0	2	7	7	1	50	0	24	57	90	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	76		30		26		0		7	spells	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	4	4	0	70	7	10	30	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	3	0	0	169	0	4	170	0	4	171	0	4	183	0	1	0	0	0	255	138	0	50	0	0	0	50	0	50	0	0	0	50	50	90	0	0	0	100	50	4	0	1	0	0	0	0	0	1	0	0	96	0	76	105	121	482	24	8	19	45	0	0	0	0	0	0	574	789	310	4494	19	44	159	0	0	0	0	0	0	1579	2171	528	29060	39	92	334	0	0	0	0	0	0	Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BloodLord	BloodLord	Vampire	steals life	29	134	1	0	VA	0	0	2	2	3	0	2	8	8	1	50	0	25	58	90	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	85		35		27		0		7	spells	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	4	4	0	75	8	11	30	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	5	0	0	169	0	5	170	0	5	171	0	5	183	0	1	0	0	0	255	0	0	60	0	0	0	50	0	60	0	0	0	50	50	90	0	0	0	100	50	5	0	1	0	0	0	0	0	1	0	0	96	0	79	109	126	530	25	8	19	47	0	0	0	0	0	0	584	803	316	4809	19	45	162	0	0	0	0	0	0	1579	2171	528	29060	39	92	334	0	0	0	0	0	0	Act 3 Cast C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) Cast C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) Cast C	Act 3 (H) Champ C	Act 3 (H) Unique C		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banished	Banished	Vampire	steals life	29	135	1	1	VA	0	0	2	2	3	0	2	9	9	1	50	0	12	45	78	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	85		40		28		0		1	spells	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	4	4	0	55	4	7	30	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	3	0	0	169	0	1	170	0	1	171	0	1	183	0	1	0	0	0	255	138	0	20	0	0	0	50	0	20	0	0	0	50	50	90	0	0	0	100	50	3	0	1	0	0	0	0	0	1	0	0	96	0	40	55	60	154	13	4	10	23	0	0	0	0	0	0	454	624	245	1996	15	35	126	0	0	0	0	0	0	1369	1882	457	14442	34	80	290	0	0	0	0	0	0	Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DesertWing	DesertWing	BatDemon	shocking hit	30	136	1	0	BT	0	0	2	2	2	0	3	7	7	1	50	0	15	48	81	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	hth	5		25		0		15		0		1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	5	2	1	65	7	10	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	100	0	0	0	2	0	0	0	0	0	0	1	0	0	0	96	0	14	48	75	151	16	7	10	29	5	10	60	0	0	0	139	478	261	1811	21	30	134	0	0	0	0	0	0	409	1404	475	12741	45	66	301	0	0	0	0	0	0	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fiend	Fiend	BatDemon	shocking hit	30	137	1	0	BT	0	0	2	2	2	0	3	8	8	1	50	0	19	52	85	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	hth	5		50		0		15		0		1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	5	2	1	70	8	12	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	100	0	0	2	0	0	0	0	0	0	1	0	0	0	96	0	18	60	95	222	19	8	12	36	8	12	65	0	0	0	151	517	283	2374	22	32	145	0	0	0	0	0	0	429	1473	498	16085	48	69	315	0	0	0	0	0	0	Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gloombat	Gloombat	BatDemon	shocking hit	30	138	1	0	BT	0	0	2	2	2	0	3	9	9	1	50	0	22	55	88	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	hth	5		50		0		15		0		1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	5	2	1	75	9	14	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	100	0	2	0	0	0	0	0	0	1	0	0	0	96	0	20	69	111	295	22	9	14	42	11	17	70	0	0	0	159	547	299	2908	24	34	154	0	0	0	0	0	0	444	1525	516	19158	49	72	327	0	0	0	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
